Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04145:Phagosome	6	11.538461538461538	7.615880117687842E-5	NM_001912, DQ400107, BC009956, NM_002116, NM_001172633, NM_001172632, U35431, AB209058, NM_033554, NM_002543, AK292709, AK055599, NM_145918, NM_006082, AB010710, M27487, BC003069, AK301019	22	153	6910	12.31729055258467	0.003876712842896257	0.003876712842896257	0.07365143244004724
KEGG_PATHWAY	hsa04612:Antigen processing and presentation	4	7.6923076923076925	0.0014747722893612874	NM_033554, NM_001912, AK292709, AK055599, BC009956, NM_145918, NM_002116, U35431, M27487, BC003069, AB209058, AK301019	22	76	6910	16.5311004784689	0.07250595281974204	0.03693507634206816	1.4175987931708711
KEGG_PATHWAY	hsa05332:Graft-versus-host disease	3	5.769230769230769	0.004388606008430263	NM_033554, AK292709, BC009956, NM_002116, U35431, M27487, BC003069, AB209058, AK301019	22	33	6910	28.553719008264462	0.20093379320871096	0.07204356424497138	4.165616567787101
KEGG_PATHWAY	hsa05330:Allograft rejection	3	5.769230769230769	0.005495301233042091	NM_033554, AK292709, BC009956, NM_002116, U35431, M27487, BC003069, AB209058, AK301019	22	37	6910	25.466830466830462	0.2449967712519422	0.06784699872666777	5.191200719242528
KEGG_PATHWAY	hsa04142:Lysosome	4	7.6923076923076925	0.0055331065644038824	NM_001912, BC002532, AK055599, NM_145918, NM_006432, NM_001042465, NM_001042466, NM_002778, M60257, NM_024312, AY687932	22	121	6910	10.383170548459805	0.24645912526227642	0.055022728572762025	5.226060752558959
KEGG_PATHWAY	hsa04940:Type I diabetes mellitus	3	5.769230769230769	0.00703968888700337	NM_033554, AK292709, BC009956, NM_002116, U35431, M27487, BC003069, AB209058, AK301019	22	42	6910	22.435064935064933	0.30252862431552363	0.05828158107460302	6.605949969279045
KEGG_PATHWAY	hsa05320:Autoimmune thyroid disease	3	5.769230769230769	0.010645537765985135	NM_033554, AK292709, BC009956, NM_002116, U35431, M27487, BC003069, AB209058, AK301019	22	52	6910	18.12062937062937	0.42064099545259404	0.07501349973097893	9.835702445608474
KEGG_PATHWAY	hsa05416:Viral myocarditis	3	5.769230769230769	0.012696900902585028	NM_033554, AK292709, BC009956, NM_002116, U35431, M27487, BC003069, AB209058, AK301019	22	57	6910	16.531100478468897	0.478834675349472	0.07823133792641923	11.628072025132251
KEGG_PATHWAY	hsa05166:HTLV-I infection	4	7.6923076923076925	0.04082279839284235	NM_005239, NM_033554, AK292709, BC009956, NM_002116, BC042954, U35431, M27487, BC003069, AB209058, AK301019	22	256	6910	4.907670454545455	0.8806448322341492	0.21036424874482162	33.182522944710634
KEGG_PATHWAY	hsa04514:Cell adhesion molecules (CAMs)	3	5.769230769230769	0.06827307058764472	NM_033554, AK292709, BC009956, NM_002116, U35431, M27487, BC003069, AB209058, AK301019	22	142	6910	6.635723431498079	0.9728530498554078	0.30277635887757814	49.54555483020692
