Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0019882~antigen processing and presentation	4	7.6923076923076925	3.486867983148314E-4	NM_033554, NM_001912, AK292709, AK055599, BC009956, NM_145918, NM_002116, U35431, M27487, BC003069, AB209058, AK301019	43	55	16792	28.400845665961945	0.12228347661234207	0.12228347661234207	0.48051742392265506
GOTERM_BP_DIRECT	GO:0035606~peptidyl-cysteine S-trans-nitrosylation	2	3.8461538461538463	0.0049962747179749245	M26311, NM_002046, NM_002965, X01677	43	2	16792	390.51162790697674	0.8463826314041941	0.6080594833449776	6.684076525173365
GOTERM_BP_DIRECT	GO:0002486~antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent	2	3.8461538461538463	0.007485265573331826	NM_002116, U35431, BC003069, AK301019	43	3	16792	260.3410852713178	0.9397961734438173	0.6080704291543899	9.856940591841534
GOTERM_BP_DIRECT	GO:0042270~protection from natural killer cell mediated cytotoxicity	2	3.8461538461538463	0.012445026858302722	NM_002116, U35431, BC003069, AK301019	43	5	16792	156.2046511627907	0.9907547457879565	0.6899157453752011	15.883212820244474
GOTERM_BP_DIRECT	GO:0060333~interferon-gamma-mediated signaling pathway	3	5.769230769230769	0.013608254000408578	NM_033554, AK292709, BC009956, NM_002116, U35431, M27487, BC003069, AB209058, AK301019	43	71	16792	16.500491320013104	0.9940504156476127	0.6411629106938117	17.24138652122602
GOTERM_BP_DIRECT	GO:0002480~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent	2	3.8461538461538463	0.0222920720596016	NM_002116, U35431, BC003069, AK301019	43	9	16792	86.78036175710595	0.9997821201090228	0.7546970007608111	26.75589318822784
GOTERM_BP_DIRECT	GO:1903206~negative regulation of hydrogen peroxide-induced cell death	2	3.8461538461538463	0.02473881775275816	NM_173454, NM_001042465, NM_001042466, NM_002778, BC060762, NM_002605, M60257	43	10	16792	78.10232558139535	0.9999146445939937	0.7377308007062042	29.247311228861072
GOTERM_BP_DIRECT	GO:0016045~detection of bacterium	2	3.8461538461538463	0.03204324601970886	NM_002116, U35431, BC003069, AK301019	43	13	16792	60.07871198568873	0.9999948698864297	0.7818446477675024	36.22531056716394
GOTERM_BP_DIRECT	GO:0001916~positive regulation of T cell mediated cytotoxicity	2	3.8461538461538463	0.03204324601970886	NM_002116, U35431, BC003069, AK301019	43	13	16792	60.07871198568873	0.9999948698864297	0.7818446477675024	36.22531056716394
GOTERM_BP_DIRECT	GO:1903959~regulation of anion transmembrane transport	2	3.8461538461538463	0.041699459595090305	BC056870, NM_001025356, NM_005662, BC098410, NM_001135694, NM_001142679, NM_001142678	43	17	16792	45.94254445964432	0.9999998793164261	0.8296687865717993	44.472302564616896
GOTERM_BP_DIRECT	GO:0050871~positive regulation of B cell activation	2	3.8461538461538463	0.06308340194578543	AK128476, BC073782	43	26	16792	30.039355992844364	0.9999999999739295	0.9125791777147725	59.342084728803954
GOTERM_BP_DIRECT	GO:0006910~phagocytosis, recognition	2	3.8461538461538463	0.06777174500952574	AK128476, BC073782	43	28	16792	27.893687707641195	0.9999999999960067	0.9080065506133688	62.063766166521404
GOTERM_BP_DIRECT	GO:0002474~antigen processing and presentation of peptide antigen via MHC class I	2	3.8461538461538463	0.07243718339491675	NM_002116, U35431, BC003069, AK301019	43	30	16792	26.03410852713178	0.9999999999993885	0.9040156402323832	64.6035485002492
GOTERM_BP_DIRECT	GO:0071364~cellular response to epidermal growth factor stimulus	2	3.8461538461538463	0.07939263340587575	NM_173454, NM_003407, M92843, BC060762, NM_002605	43	33	16792	23.667371388301618	0.9999999999999634	0.9074344386562984	68.09848903316683
GOTERM_BP_DIRECT	GO:0006911~phagocytosis, engulfment	2	3.8461538461538463	0.08400128667401016	AK128476, BC073782	43	35	16792	22.314950166112958	0.9999999999999944	0.9040492221523396	70.23487055401579
GOTERM_BP_DIRECT	GO:0006955~immune response	4	7.6923076923076925	0.08771908430539362	NM_033554, AK128476, AK292709, BC009956, NM_002116, U35431, M27487, BC003069, AB209058, AK301019	43	421	16792	3.710324255648235	0.9999999999999988	0.8986385442496413	71.86073564377533
GOTERM_BP_DIRECT	GO:0045087~innate immune response	4	7.6923076923076925	0.09207537756007154	AK128476, M26311, NM_002965, BC073782, U35431	43	430	16792	3.6326663061114117	0.9999999999999998	0.8954283556929894	73.66087874740322
GOTERM_BP_DIRECT	GO:0006821~chloride transport	2	3.8461538461538463	0.09542460888628342	NM_001025356, NM_001288, BC098410, AF034607, NM_001142679, NM_001142678	43	40	16792	19.525581395348837	1.0	0.8899006107371646	74.97158540871303
