GENBANK_ACCESSION	Name	Species
AK290142	neuroblastoma breakpoint family member 15(NBPF15)	Homo sapiens
NM_001102663	neuroblastoma breakpoint family member 15(NBPF15)	Homo sapiens
AK290302	neuroblastoma breakpoint family member 15(NBPF15)	Homo sapiens
BC023087	neuroblastoma breakpoint family member 15(NBPF15)	Homo sapiens
AY894566	neuroblastoma breakpoint family member 15(NBPF15)	Homo sapiens
AK299360	neuroblastoma breakpoint family member 15(NBPF15)	Homo sapiens
NM_173638	neuroblastoma breakpoint family member 15(NBPF15)	Homo sapiens
M33195	Fc fragment of IgE receptor Ig(FCER1G)	Homo sapiens
NM_004106	Fc fragment of IgE receptor Ig(FCER1G)	Homo sapiens
NM_002510	glycoprotein nmb(GPNMB)	Homo sapiens
BC032783	glycoprotein nmb(GPNMB)	Homo sapiens
NM_001005340	glycoprotein nmb(GPNMB)	Homo sapiens
NM_139286	cell division cycle 26(CDC26)	Homo sapiens
BC066300	cell division cycle 26(CDC26)	Homo sapiens
NM_004048	beta-2-microglobulin(B2M)	Homo sapiens
BC032589	beta-2-microglobulin(B2M)	Homo sapiens
AK096147	small nucleolar RNA, H/ACA box 33(SNORA33)	Homo sapiens
NM_173177	C1D nuclear receptor corepressor(C1D)	Homo sapiens
NM_006333	C1D nuclear receptor corepressor(C1D)	Homo sapiens
AK290451	C1D nuclear receptor corepressor(C1D)	Homo sapiens
NM_001190263	C1D nuclear receptor corepressor(C1D)	Homo sapiens
NM_001190265	C1D nuclear receptor corepressor(C1D)	Homo sapiens
NM_006332	IFI30, lysosomal thiol reductase(IFI30)	Homo sapiens
BC021136	IFI30, lysosomal thiol reductase(IFI30)	Homo sapiens
NR_003033	small nucleolar RNA, C/D box 5(SNORD5)	Homo sapiens
AK292282	glycerol kinase 3 pseudogene(GK3P)	Homo sapiens
NR_026575	glycerol kinase 3 pseudogene(GK3P)	Homo sapiens
NM_006597	heat shock protein family A (Hsp70) member 8(HSPA8)	Homo sapiens
AF352832	heat shock protein family A (Hsp70) member 8(HSPA8)	Homo sapiens
NM_153201	heat shock protein family A (Hsp70) member 8(HSPA8)	Homo sapiens
NM_001128127	glycerol kinase(GK)	Homo sapiens
NM_000167	glycerol kinase(GK)	Homo sapiens
BC042421	glycerol kinase(GK)	Homo sapiens
BC037549	glycerol kinase(GK)	Homo sapiens
NM_203391	glycerol kinase(GK)	Homo sapiens
AK090618	transmembrane BAX inhibitor motif containing 1(TMBIM1)	Homo sapiens
BC013428	transmembrane BAX inhibitor motif containing 1(TMBIM1)	Homo sapiens
AF193045	transmembrane BAX inhibitor motif containing 1(TMBIM1)	Homo sapiens
AB257295	transmembrane BAX inhibitor motif containing 1(TMBIM1)	Homo sapiens
BC026348	transmembrane BAX inhibitor motif containing 1(TMBIM1)	Homo sapiens
NM_022152	transmembrane BAX inhibitor motif containing 1(TMBIM1)	Homo sapiens
AK298123	transmembrane BAX inhibitor motif containing 1(TMBIM1)	Homo sapiens
AK298500	transmembrane BAX inhibitor motif containing 1(TMBIM1)	Homo sapiens
AK300597	transmembrane BAX inhibitor motif containing 1(TMBIM1)	Homo sapiens
BC007980	transmembrane BAX inhibitor motif containing 1(TMBIM1)	Homo sapiens
AK093911	transmembrane BAX inhibitor motif containing 1(TMBIM1)	Homo sapiens
NM_005348	heat shock protein 90 alpha family class A member 1(HSP90AA1)	Homo sapiens
BC121062	heat shock protein 90 alpha family class A member 1(HSP90AA1)	Homo sapiens
NM_001017963	heat shock protein 90 alpha family class A member 1(HSP90AA1)	Homo sapiens
BC042755	regulator of G-protein signaling 2(RGS2)	Homo sapiens
NM_002923	regulator of G-protein signaling 2(RGS2)	Homo sapiens
AY894574	neuroblastoma breakpoint family member 9(NBPF9)	Homo sapiens
AK294414	neuroblastoma breakpoint family member 9(NBPF9)	Homo sapiens
AK095030	neuroblastoma breakpoint family member 9(NBPF9)	Homo sapiens
BC020249	F-box protein 25(FBXO25)	Homo sapiens
NR_002569	small Cajal body-specific RNA 9(SCARNA9)	Homo sapiens
BC098435	Y-box binding protein 1(YBX1)	Homo sapiens
NM_004559	Y-box binding protein 1(YBX1)	Homo sapiens
NM_001101	actin beta(ACTB)	Homo sapiens
BC001301	actin beta(ACTB)	Homo sapiens
BC004251	actin beta(ACTB)	Homo sapiens
DQ471327	actin beta(ACTB)	Homo sapiens
BC002409	actin beta(ACTB)	Homo sapiens
BC013380	actin beta(ACTB)	Homo sapiens
BC016045	actin beta(ACTB)	Homo sapiens
BC014861	actin beta(ACTB)	Homo sapiens
AK301372	actin beta(ACTB)	Homo sapiens
AK316361	actin beta(ACTB)	Homo sapiens
AK304552	actin beta(ACTB)	Homo sapiens
AK131444	WD repeat domain 88(WDR88)	Homo sapiens
NM_021109	thymosin beta 4, X-linked(TMSB4X)	Homo sapiens
BC128102	thymosin beta 4, X-linked(TMSB4X)	Homo sapiens
BC139925	thymosin beta 4, X-linked(TMSB4X)	Homo sapiens
BC107789	thymosin beta 4, X-linked(TMSB4X)	Homo sapiens
BC151215	thymosin beta 4, X-linked(TMSB4X)	Homo sapiens
BC104197	thymosin beta 4, X-linked pseudogene 2(TMSB4XP2)	Homo sapiens
NM_194247	heterogeneous nuclear ribonucleoprotein A3(HNRNPA3)	Homo sapiens
AY363225	heterogeneous nuclear ribonucleoprotein A3(HNRNPA3)	Homo sapiens
BC107601	cyclin dependent kinase 8(CDK8)	Homo sapiens
NM_001260	cyclin dependent kinase 8(CDK8)	Homo sapiens
NM_001100427	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
AK297543	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
NM_001100428	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
NM_001100429	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
BC098334	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
BC001851	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
AF215923	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
BC098269	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
AF237413	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
NM_021159	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
NM_001100430	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
BT006837	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
NM_001100426	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
AY376900	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
BC001816	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
AK295156	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
BC099845	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
BC099708	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens
AF059618	COMM domain containing 2(COMMD2)	Homo sapiens
NM_016094	COMM domain containing 2(COMMD2)	Homo sapiens
NR_024437	uncharacterized LOC728323(LOC728323)	Homo sapiens
AK298283	uncharacterized LOC728323(LOC728323)	Homo sapiens
NM_001024466	superoxide dismutase 2, mitochondrial(SOD2)	Homo sapiens
BC012423	superoxide dismutase 2, mitochondrial(SOD2)	Homo sapiens
NM_000636	superoxide dismutase 2, mitochondrial(SOD2)	Homo sapiens
NM_001024465	superoxide dismutase 2, mitochondrial(SOD2)	Homo sapiens
BC112282	thymosin beta 4, X-linked pseudogene 6(TMSB4XP6)	Homo sapiens
AK095459	neuroblastoma breakpoint family member 14(NBPF14)	Homo sapiens
BC065192	RNA binding motif single stranded interacting protein 1(RBMS1)	Homo sapiens
NM_002897	RNA binding motif single stranded interacting protein 1(RBMS1)	Homo sapiens
NM_016836	RNA binding motif single stranded interacting protein 1(RBMS1)	Homo sapiens
NM_001042500	defensin alpha 1B(DEFA1B)	Homo sapiens
NM_002065	glutamate-ammonia ligase(GLUL)	Homo sapiens
NM_001033056	glutamate-ammonia ligase(GLUL)	Homo sapiens
BC011700	glutamate-ammonia ligase(GLUL)	Homo sapiens
NM_001033044	glutamate-ammonia ligase(GLUL)	Homo sapiens
AY894573	neuroblastoma breakpoint family member 8(NBPF8)	Homo sapiens
AY894563	neuroblastoma breakpoint family member 8(NBPF8)	Homo sapiens
AY894561	neuroblastoma breakpoint family member 8(NBPF8)	Homo sapiens
AY894567	neuroblastoma breakpoint family member 8(NBPF8)	Homo sapiens
AY894571	neuroblastoma breakpoint family member 8(NBPF8)	Homo sapiens
AY894562	neuroblastoma breakpoint family member 8(NBPF8)	Homo sapiens
AY894569	neuroblastoma breakpoint family member 8(NBPF8)	Homo sapiens
