#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
WDR3	PWP2	1849040	1847299	9606.ENSP00000308179	9606.ENSP00000291576	0	0	0	0.611	0	0.989	0.900	0	0.998
TBL3	WDR36	1862919	1861582	9606.ENSP00000454836	9606.ENSP00000423067	0	0	0	0.612	0	0.989	0.900	0	0.998
WDR36	RRP9	1861582	1843325	9606.ENSP00000423067	9606.ENSP00000232888	0	0	0	0	0	0.987	0.900	0	0.998
B2M	HLA-B	1862817	1860141	9606.ENSP00000452780	9606.ENSP00000399168	0	0	0	0	0	0.985	0.900	0	0.998
TBL3	PWP2	1862919	1847299	9606.ENSP00000454836	9606.ENSP00000291576	0	0	0	0.612	0	0.989	0.900	0	0.998
WDR36	WDR3	1861582	1849040	9606.ENSP00000423067	9606.ENSP00000308179	0	0	0	0.610	0	0.989	0.900	0	0.998
C14orf166	DDX1	1844968	1843337	9606.ENSP00000261700	9606.ENSP00000233084	0	0	0	0	0	0.987	0.900	0	0.998
WDR36	PWP2	1861582	1847299	9606.ENSP00000423067	9606.ENSP00000291576	0	0	0	0.611	0	0.989	0.900	0	0.998
TBL3	WDR3	1862919	1849040	9606.ENSP00000454836	9606.ENSP00000308179	0	0	0	0.622	0	0.989	0.900	0	0.998
B2M	HLA-A	1862817	1856558	9606.ENSP00000452780	9606.ENSP00000366005	0	0	0	0	0	0.975	0.900	0	0.997
TUBA1B	TUBB2B	1851928	1844727	9606.ENSP00000336799	9606.ENSP00000259818	0	0	0	0.918	0	0.971	0.900	0	0.997
B2M	HLA-G	1862817	1853986	9606.ENSP00000452780	9606.ENSP00000353472	0	0	0	0	0	0.975	0.900	0	0.997
FAM98B	C14orf166	1858508	1844968	9606.ENSP00000380734	9606.ENSP00000261700	0	0	0	0	0	0.970	0.900	0	0.996
FAM98B	DDX1	1858508	1843337	9606.ENSP00000380734	9606.ENSP00000233084	0	0	0	0	0	0.970	0.900	0	0.996
B2M	CD1D	1862817	1854753	9606.ENSP00000452780	9606.ENSP00000357153	0	0	0	0	0	0.959	0.900	0	0.995
PGK1	GAPDH	1855883	1843185	9606.ENSP00000362413	9606.ENSP00000229239	0	0	0	0	0	0.921	0.941	0	0.995
GAK	HSPA8	1849711	1843112	9606.ENSP00000314499	9606.ENSP00000227378	0	0	0	0	0	0.952	0.900	0	0.995
BMS1	RRP9	1856134	1843325	9606.ENSP00000363642	9606.ENSP00000232888	0	0	0	0	0	0.949	0.900	0	0.994
B2M	HLA-C	1862817	1856460	9606.ENSP00000452780	9606.ENSP00000365402	0	0	0	0	0	0.950	0.900	0	0.994
WDR36	BMS1	1861582	1856134	9606.ENSP00000423067	9606.ENSP00000363642	0	0	0	0	0	0.949	0.900	0	0.994
RCL1	BMS1	1857428	1856134	9606.ENSP00000371169	9606.ENSP00000363642	0	0	0	0	0	0.949	0.900	0	0.994
TUBB2A	TUBA1B	1857206	1851928	9606.ENSP00000369703	9606.ENSP00000336799	0	0	0	0.919	0	0.938	0.900	0	0.993
TUBB4B	TUBA1B	1852441	1851928	9606.ENSP00000341289	9606.ENSP00000336799	0	0	0	0.919	0	0.938	0.900	0	0.993
TUBB4B	TUBA1A	1852441	1848244	9606.ENSP00000341289	9606.ENSP00000301071	0	0	0	0.920	0	0.938	0.900	0	0.993
TUBB2A	TUBA1A	1857206	1848244	9606.ENSP00000369703	9606.ENSP00000301071	0	0	0	0.918	0	0.938	0.900	0	0.993
PWP2	RRP9	1847299	1843325	9606.ENSP00000291576	9606.ENSP00000232888	0	0	0	0.621	0	0.931	0.900	0	0.992
TBL3	RRP9	1862919	1843325	9606.ENSP00000454836	9606.ENSP00000232888	0	0	0	0.634	0	0.931	0.900	0	0.992
WDR36	DCAF13	1861582	1847888	9606.ENSP00000423067	9606.ENSP00000297579	0	0	0	0	0	0.931	0.900	0	0.992
DCAF13	RRP9	1847888	1843325	9606.ENSP00000297579	9606.ENSP00000232888	0	0	0	0	0	0.931	0.900	0	0.992
TBL3	DCAF13	1862919	1847888	9606.ENSP00000454836	9606.ENSP00000297579	0	0	0	0.615	0	0.931	0.900	0	0.992
WDR3	RRP9	1849040	1843325	9606.ENSP00000308179	9606.ENSP00000232888	0	0	0	0.635	0	0.931	0.900	0	0.992
