Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006955~immune response	17	20.238095238095237	2.618788290255955E-11	AY766447, NM_004084, CR456894, NM_173841, BC008678, NM_173842, NM_004633, NM_173843, NM_002117, AY766446, NM_001001435, BC002538, CR541874, NM_000577, NM_006435, NM_000576, BC020708, U83171, NM_207007, BT009859, BC033756, NM_002990, NM_004155, AK128476, BC033293, BC068441, BC039031, AY766452, BC069423, X57351, D00044, M26602, NM_003264, BC009696, BC020752, NM_004951, NM_003064, NM_001042500, NM_002983, NM_002984	74	421	16792	9.162996725942094	1.7860099732480705E-8	1.7860099732480705E-8	3.935513026576132E-8
GOTERM_BP_DIRECT	GO:0030593~neutrophil chemotaxis	9	10.714285714285714	4.038217988116149E-10	AY766447, NM_001001437, NM_002990, BC007783, BC008678, NM_002965, AY766452, NM_001001435, AY766446, D00044, X52149, NM_000576, M26311, U83171, NM_207007, NM_021006, NM_002983, NM_002984	74	66	16792	30.943488943488944	2.754063982424171E-7	1.377032086136154E-7	6.068643032541843E-7
GOTERM_BP_DIRECT	GO:0071347~cellular response to interleukin-1	9	10.714285714285714	7.352266953691376E-10	AY766447, NM_001001437, NM_002990, BC007783, NM_181054, AY766452, AY766446, NM_001001435, D00044, X52149, BC012527, BC033089, U83171, NM_207007, NM_005564, NM_021006, NM_001530, NM_002983, NM_002984	74	71	16792	28.764370003806626	5.01424454735222E-7	1.6714151285235346E-7	1.1049003822982684E-6
GOTERM_BP_DIRECT	GO:0071346~cellular response to interferon-gamma	8	9.523809523809524	4.860419469665166E-9	AY766447, NM_001001437, NM_002990, BC007783, NM_002046, AY766452, NM_001001435, AY766446, D00044, X52149, U83171, NM_207007, X01677, NM_021006, NM_002983, NM_002984	74	57	16792	31.848269321953534	3.3148006207683878E-6	8.287011853402859E-7	7.304249904915849E-6
GOTERM_BP_DIRECT	GO:0071356~cellular response to tumor necrosis factor	9	10.714285714285714	2.4747808470965336E-8	AY766447, NM_001001437, NM_002990, NM_003407, BC007783, AY766452, AY766446, NM_001001435, D00044, X52149, BC033089, U83171, NM_207007, NM_005564, NM_021006, M92843, NM_002983, NM_002984	74	110	16792	18.56609336609337	1.6877863152076067E-5	3.375595419630173E-6	3.7191059731878084E-5
GOTERM_BP_DIRECT	GO:0002548~monocyte chemotaxis	7	8.333333333333332	2.5374152415095495E-8	AY766447, NM_001001437, NM_002990, BC007783, AY766452, AY766446, NM_001001435, D00044, X52149, U83171, NM_207007, NM_021006, NM_002983, NM_002984	74	42	16792	37.81981981981982	1.7305022454006114E-5	2.884191205310138E-6	3.81323306375414E-5
GOTERM_BP_DIRECT	GO:0050729~positive regulation of inflammatory response	8	9.523809523809524	2.8346868428591104E-8	BC033756, AY766447, NM_001001437, BC007783, NM_002965, AY766452, NM_001001435, AY766446, D00044, X52149, NM_003264, M26311, NM_207007, NM_021006, NM_002983, NM_002984	74	73	16792	24.86782673084043	1.9332377655501E-5	2.761791118910395E-6	4.259973366282921E-5
GOTERM_BP_DIRECT	GO:0048247~lymphocyte chemotaxis	6	7.142857142857142	1.228327966717585E-7	X52149, D00044, AY766447, NM_001001437, NM_002990, BC007783, U83171, NM_207007, AY766452, NM_021006, NM_001001435, NM_002983	74	28	16792	48.62548262548263	8.376846372870617E-5	1.0471441736825682E-5	1.8459326376341068E-4
GOTERM_BP_DIRECT	GO:0070098~chemokine-mediated signaling pathway	7	8.333333333333332	6.272842086346153E-7	AY766447, NM_001001437, NM_002990, BC007783, AY766452, AY766446, NM_001001435, D00044, X52149, U83171, NM_207007, NM_021006, NM_002983, NM_002984	74	71	16792	22.37228778073849	4.2771646772432614E-4	4.7533088545104185E-5	9.426800723355555E-4
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	12	14.285714285714285	6.805057074395181E-7	AY766447, NM_001001437, NM_002965, BC008678, NM_001126128, AY766446, NM_001001435, NM_000576, U83171, NM_207007, NM_000963, NM_021006, BC033756, NM_002990, AY151286, BC007783, NM_021935, AY766452, X52149, D00044, NM_003264, M26311, AF333025, NM_002983, NM_002984	74	379	16792	7.184767881337803	4.639973703047806E-4	4.640942808864512E-5	0.0010226607352281647
GOTERM_BP_DIRECT	GO:0045087~innate immune response	12	14.285714285714285	2.331174996345619E-6	NM_003332, NM_004084, BC011175, NR_033390, NM_002965, NM_001173514, NM_002117, NM_001173515, NM_001114752, BC119706, NM_000574, BC020708, BC033756, AK128476, BC033293, BC073782, BC069423, M26602, M30142, NM_003264, NM_005217, M26311, BC033089, NM_003064, NM_005564, NM_198125, NM_001042500	74	430	16792	6.33262099308611	0.0015886000376607035	1.4452257384756084E-4	0.003503238118873764
GOTERM_BP_DIRECT	GO:0070374~positive regulation of ERK1 and ERK2 cascade	8	9.523809523809524	1.0813404402085215E-5	AY766447, NM_001001437, NM_002990, BC007783, AY766452, NM_001001435, AY766446, D00044, X52149, BC020752, U83171, NM_004951, NM_207007, NM_021006, NM_002983, NM_002984	74	175	16792	10.373436293436296	0.007347654699323747	6.143763331550867E-4	0.01624917772458101
